timestamp,author_id,text,geo
2025-06-18 09:12:27+00:00,1273225738204807168,"RT @ouen296: 総額10万円分のAmazonギフトカード✨
リポストで毎月296名に🎁

／

お知らせ提供 @satomeatshop

希少な国産牛タンを絶妙な温度で焼き、香ばしく炙った新感覚「炙りトロタン」。
https://t.co/AF7yVb8qGm

＼…",
2025-06-18 09:12:27+00:00,1332010694464638978,"RT @HuseyinCkr_: Bir kızın babasıyla mesajlaşmaları 
Bence bazı kızlar çok şanslı gerçekten de adlı flood https://t.co/PytXi7zeOB",
2025-06-18 09:12:27+00:00,422514407,"RT @ZackPolanski: The climate crisis isn't some distant threat.

It's here and it's now. Both around the world and in the UK.

As Chair of…",
2025-06-18 09:12:26+00:00,1861151233462910976,"RT @Justjules101010: @ShmooNFT NAKA community is ON FIRE 

https://t.co/ejLQU1p7w5",
2025-06-18 09:12:26+00:00,1796463313934864384,".@linera_io #LineraCommunity Another gem is the “multi-wallet meltdown” from an early testnet, where community members stress-tested microchains so hard they crashed wallets, leading to a flood of “melting the chain” memes that still get chuckles on Discord and X.",
2025-06-18 09:12:26+00:00,1381251265334800390,"RT @C_NyaKundiH: Steve Bannon, one of Trump’s main guys once said the way to beat public outrage is simple...  “flood the zone with shit.”…",
2025-06-18 09:12:26+00:00,1682504325979860997,@Hell_Fire_Com TU2 tomorrow,
2025-06-18 09:12:26+00:00,1885727008187179008,RT @OneFootball: Luis Suárez was on FIRE when he last played at the Club World Cup 😳💥 https://t.co/4s52UkYxDW,
2025-06-18 09:12:25+00:00,1848069347308085248,"RT @C_NyaKundiH: Steve Bannon, one of Trump’s main guys once said the way to beat public outrage is simple...  “flood the zone with shit.”…",
2025-06-18 09:12:25+00:00,4311243256,RT @Timesofgaza: Gaza tents on fire due to lsraeli bombing. https://t.co/xnOUQEJZQP,
2025-06-18 09:12:25+00:00,1893216383196110850,"RT @akuzhae: 💲5️⃣0️⃣ in 24 Hours🧸🔮

- RP &amp; Users need to react with the rocket 🚀 and fire🔥 on Dexscreener 

https://t.co/mz5x3pxi4d

(+Proo…",
2025-06-18 09:12:24+00:00,1273225738204807168,"RT @ouen296: 総額10万円分のAmazonギフトカード✨
リポストで毎月296名に🎁

／

お知らせ提供 @tandem_road

口コミで話題沸騰のドキュメンタリー映画『タンデム・ロード』劇場公開支援プロジェクト
https://t.co/isjmQfVciL…",
2025-06-18 09:12:24+00:00,1175404530005151744,"Don’t get hype for the moment and start to backpedal !🗣🗣
 https://t.co/NFG88rbe3G",
2025-06-18 09:12:24+00:00,84531658,"@IamBradleyCarl Okuva kwolwo, Facebook mye. Business zaffe nezifa. His going to win this one too with a landslide",
2025-06-18 09:12:24+00:00,45516395,RT @GuyOron: Horrific scenes from Gaza as Israel (with full U.S. backing) weaponizes aid distribution and turns it into a sort of Hunger Ga…,
2025-06-18 09:12:24+00:00,1444711957639024642,@cinecorndotcom Antey entra ippudu ntr train paina dhookadu ... NTR gun tho fire chesadu ani audience ni kuda cheyyamantava...rajasaab lo pb wig pettukunnadu ani audience andharini pettukomantava,
2025-06-18 09:12:23+00:00,1273225738204807168,"RT @ouen296: 総額10万円分のAmazonギフトカード✨
リポストで毎月296名に🎁

／

お知らせ提供 @CACAOSUPERFOODS

約３年の歳月を費やし、要約完成したのがカカオの機能性表示食品【発酵クリオロカカオ酵母】です。 
https://t.co/…",
2025-06-18 09:12:22+00:00,21820963,"RT @ireallyhateyou: ""Leave Gaza, save yourselves. The flood that's coming down on you isn't from Al-Aqsa but from the Western Wall. This ti…",
2025-06-18 09:12:22+00:00,1752768880030662656,"RT @WarMonitors: ⚡️Gaza Strip this evening, citizens go to American aid points to get food and the occupation army opens fire on them. http…",
2025-06-18 09:12:22+00:00,857590513762840578,@RGM84_fire おめでとう(ﾟ∀ﾟ),
2025-06-18 09:12:22+00:00,1652978464679677952,@22francc @TheNotoriousMMA fire bro,
2025-06-18 09:12:21+00:00,1050654829,"RT @SoniaPoulton: Abort them late.

Kill them early.

Sell surrogate babies to strangers.

Flood the market with mRNA vaccines and have med…",
2025-06-18 09:12:21+00:00,16808778,"RT @CherylWroteIt: Dear @POTUS 

Before you Make America Great Again, could you possibly help make America have balls again?

You’re a stro…",
2025-06-18 09:12:21+00:00,1196404776151453696,"@azania1023 The MKP membership is to blame. You gave Zuma absolute power to abuse you.
No modern party is set up like yours. You have banned conferences. Only Zuma can hire and fire. He can even visit fraudster Louis Liebenberg at Kgosi Mampuru.
You asked for it. Enjoy it.",{'place_id': 'f7c6dc7b4ee0909f'}
2025-06-18 09:12:21+00:00,3301332866,RT @ITGGlobal: Israel's air defence is nearing collapse as Iranian missile fire shows no sign of slowing. With $3M Arrow interceptors burni…,
2025-06-18 09:12:20+00:00,3179611404,RT @Timesofgaza: Gaza; aid under Israeli fire! https://t.co/6gVJLwSocq,
2025-06-18 09:12:20+00:00,1273225738204807168,"RT @ouen296: 総額10万円分のAmazonギフトカード✨
リポストで毎月296名に🎁

／

お知らせ提供 @shimotaichi

いよいよ #6月20日 まで。「にっぽんの宝物」世界大会で、残渣利用の試作品をPRし、商品化を目指します。
https://t.c…",
2025-06-18 09:12:19+00:00,1298700668736282626,"RT @SoniaPoulton: Abort them late.

Kill them early.

Sell surrogate babies to strangers.

Flood the market with mRNA vaccines and have med…",
